Date;ISIN;Indexvalue
06.04.2000;CH0023524637;16.6451
07.04.2000;CH0023524637;16.6413
10.04.2000;CH0023524637;16.7264
11.04.2000;CH0023524637;16.6682
12.04.2000;CH0023524637;16.4063
13.04.2000;CH0023524637;16.2283
14.04.2000;CH0023524637;16.3869
17.04.2000;CH0023524637;16.7219
18.04.2000;CH0023524637;16.5038
19.04.2000;CH0023524637;16.5104
20.04.2000;CH0023524637;16.4647
25.04.2000;CH0023524637;16.3837
26.04.2000;CH0023524637;16.3347
27.04.2000;CH0023524637;16.4509
28.04.2000;CH0023524637;16.1954
02.05.2000;CH0023524637;15.9372
03.05.2000;CH0023524637;15.8924
04.05.2000;CH0023524637;15.9196
05.05.2000;CH0023524637;15.9343
08.05.2000;CH0023524637;15.9002
09.05.2000;CH0023524637;15.6985
10.05.2000;CH0023524637;15.6938
11.05.2000;CH0023524637;15.2805
12.05.2000;CH0023524637;16.0893
15.05.2000;CH0023524637;16.1941
16.05.2000;CH0023524637;16.0349
17.05.2000;CH0023524637;16.1684
18.05.2000;CH0023524637;15.9364
19.05.2000;CH0023524637;16.1996
22.05.2000;CH0023524637;16.2091
23.05.2000;CH0023524637;15.8697
24.05.2000;CH0023524637;15.7424
25.05.2000;CH0023524637;15.3053
26.05.2000;CH0023524637;16.3979
29.05.2000;CH0023524637;16.3947
30.05.2000;CH0023524637;16.6231
31.05.2000;CH0023524637;16.5397
01.06.2000;CH0023524637;16.5539
02.06.2000;CH0023524637;16.2358
05.06.2000;CH0023524637;16.4102
06.06.2000;CH0023524637;16.4288
07.06.2000;CH0023524637;16.3102
08.06.2000;CH0023524637;16.459
09.06.2000;CH0023524637;16.4965
12.06.2000;CH0023524637;16.5422
13.06.2000;CH0023524637;16.4975
14.06.2000;CH0023524637;16.261
15.06.2000;CH0023524637;16.1845
16.06.2000;CH0023524637;16.1378
19.06.2000;CH0023524637;11.1902
20.06.2000;CH0023524637;11.1204
21.06.2000;CH0023524637;11.2021
22.06.2000;CH0023524637;12.6767
23.06.2000;CH0023524637;12.6851
26.06.2000;CH0023524637;12.579
27.06.2000;CH0023524637;12.6837
28.06.2000;CH0023524637;12.5741
29.06.2000;CH0023524637;12.6801
30.06.2000;CH0023524637;12.2494
03.07.2000;CH0023524637;12.2055
04.07.2000;CH0023524637;12.674
05.07.2000;CH0023524637;12.2086
06.07.2000;CH0023524637;12.0342
07.07.2000;CH0023524637;13.0706
10.07.2000;CH0023524637;13.0276
11.07.2000;CH0023524637;13.1988
12.07.2000;CH0023524637;13.3073
